"Measure.ID","Score","Score_numeric"
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40","42",42
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
"OP_40",NA,NA
