"Measure.ID","Score","Score_numeric"
"OP_23",NA,NA
"OP_23","43",43
"OP_23","62",62
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","59",59
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","69",69
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","90",90
"OP_23",NA,NA
"OP_23","67",67
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","80",80
"OP_23","64",64
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","47",47
"OP_23",NA,NA
"OP_23","67",67
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","47",47
"OP_23","75",75
"OP_23","77",77
"OP_23","23",23
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","69",69
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","93",93
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","79",79
"OP_23","58",58
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","54",54
"OP_23","45",45
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","85",85
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","67",67
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","38",38
"OP_23",NA,NA
"OP_23","36",36
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","89",89
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","40",40
"OP_23","81",81
"OP_23",NA,NA
"OP_23","65",65
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","83",83
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","55",55
"OP_23","90",90
"OP_23",NA,NA
"OP_23","64",64
"OP_23","85",85
"OP_23","50",50
"OP_23","79",79
"OP_23",NA,NA
"OP_23","67",67
"OP_23","67",67
"OP_23",NA,NA
"OP_23","84",84
"OP_23","80",80
"OP_23","50",50
"OP_23","54",54
"OP_23","91",91
"OP_23","89",89
"OP_23","86",86
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","56",56
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","80",80
"OP_23",NA,NA
"OP_23","59",59
"OP_23","60",60
"OP_23","91",91
"OP_23","72",72
"OP_23","56",56
"OP_23","69",69
"OP_23","82",82
"OP_23","83",83
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","75",75
"OP_23","77",77
"OP_23","76",76
"OP_23","79",79
"OP_23","80",80
"OP_23","64",64
"OP_23","69",69
"OP_23","67",67
"OP_23",NA,NA
"OP_23","67",67
"OP_23",NA,NA
"OP_23","60",60
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23","78",78
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
"OP_23",NA,NA
