"facility_id","target","EDV","HCP_COVID_19","IMM_3","OP_18b","OP_18c","OP_22","OP_29","SAFE_USE_OF_OPIOIDS","SEP_1","SEV_SEP_3HR","SEV_SEP_6HR","ed_flow_pc1","prevention_pc1"
"010023",1.0708,3,0.8,93,193,NA,3,97,14,42,65,97,-1.03608809535571,-0.153314883592995
"010023",1.0485,3,0.8,93,193,NA,3,97,14,42,65,97,-1.03608809535571,-0.153314883592995
"010024",1.0422,3,0.4,46,153,216,2,92,10,78,86,92,-0.260910309179021,0.42009552020809
"010024",0.9257,3,0.4,46,153,216,2,92,10,78,86,92,-0.260910309179021,0.42009552020809
"010024",1.0036,3,0.4,46,153,216,2,92,10,78,86,92,-0.260910309179021,0.42009552020809
"010024",0.9693,3,0.4,46,153,216,2,92,10,78,86,92,-0.260910309179021,0.42009552020809
"010024",0.9784,3,0.4,46,153,216,2,92,10,78,86,92,-0.260910309179021,0.42009552020809
"010029",0.905,3,1.8,84,187,251,6,97,8,75,90,97,-1.48665332541456,0.755026283859271
"010029",1.0648,3,1.8,84,187,251,6,97,8,75,90,97,-1.48665332541456,0.755026283859271
"010029",0.9654,3,1.8,84,187,251,6,97,8,75,90,97,-1.48665332541456,0.755026283859271
"010029",1.0742,3,1.8,84,187,251,6,97,8,75,90,97,-1.48665332541456,0.755026283859271
"010029",1.0358,3,1.8,84,187,251,6,97,8,75,90,97,-1.48665332541456,0.755026283859271
"010029",0.9304,3,1.8,84,187,251,6,97,8,75,90,97,-1.48665332541456,0.755026283859271
"010033",1.1073,4,0,94,206,290,3,99,12,51,76,92,-1.84040413081538,0.106024191309583
"010033",0.9857,4,0,94,206,290,3,99,12,51,76,92,-1.84040413081538,0.106024191309583
"010033",1.0866,4,0,94,206,290,3,99,12,51,76,92,-1.84040413081538,0.106024191309583
"010033",1.1,4,0,94,206,290,3,99,12,51,76,92,-1.84040413081538,0.106024191309583
"010033",1.125,4,0,94,206,290,3,99,12,51,76,92,-1.84040413081538,0.106024191309583
"010033",0.9451,4,0,94,206,290,3,99,12,51,76,92,-1.84040413081538,0.106024191309583
"010035",1.0057,3,0.2,76,160,772,1,100,17,97,98,100,-2.13754258670157,-0.607054051881281
"010035",1.018,3,0.2,76,160,772,1,100,17,97,98,100,-2.13754258670157,-0.607054051881281
"010035",0.9979,3,0.2,76,160,772,1,100,17,97,98,100,-2.13754258670157,-0.607054051881281
"010035",1.0465,3,0.2,76,160,772,1,100,17,97,98,100,-2.13754258670157,-0.607054051881281
"010035",1.0458,3,0.2,76,160,772,1,100,17,97,98,100,-2.13754258670157,-0.607054051881281
"010036",1.0138,1,1.2,84,150,NA,2,17,12,52,72,100,0.656048613185513,0.153145825335629
"010036",1.2033,1,1.2,84,150,NA,2,17,12,52,72,100,0.656048613185513,0.153145825335629
"010036",1.0267,1,1.2,84,150,NA,2,17,12,52,72,100,0.656048613185513,0.153145825335629
"010036",0.9661,1,1.2,84,150,NA,2,17,12,52,72,100,0.656048613185513,0.153145825335629
"010039",0.8656,4,0,73,238,309,1,95,12,68,86,91,-1.95786310042608,0.110122217447212
"010039",1.2959,4,0,73,238,309,1,95,12,68,86,91,-1.95786310042608,0.110122217447212
"010039",0.9251,4,0,73,238,309,1,95,12,68,86,91,-1.95786310042608,0.110122217447212
"010039",1.0004,4,0,73,238,309,1,95,12,68,86,91,-1.95786310042608,0.110122217447212
"010039",0.9728,4,0,73,238,309,1,95,12,68,86,91,-1.95786310042608,0.110122217447212
"010039",0.9752,4,0,73,238,309,1,95,12,68,86,91,-1.95786310042608,0.110122217447212
"010040",0.9714,2,0,25,187,330,2,71,16,46,72,85,-0.584041950815652,-0.459806227686358
"010040",0.9817,2,0,25,187,330,2,71,16,46,72,85,-0.584041950815652,-0.459806227686358
"010040",0.9818,2,0,25,187,330,2,71,16,46,72,85,-0.584041950815652,-0.459806227686358
"010040",1.0777,2,0,25,187,330,2,71,16,46,72,85,-0.584041950815652,-0.459806227686358
"010040",0.9886,2,0,25,187,330,2,71,16,46,72,85,-0.584041950815652,-0.459806227686358
"010040",1.0242,2,0,25,187,330,2,71,16,46,72,85,-0.584041950815652,-0.459806227686358
"010044",0.9562,1,0,70,103,120,2,NA,12,88,88,100,1.68469502448347,0.110707649752587
"010044",0.9492,1,0,70,103,120,2,NA,12,88,88,100,1.68469502448347,0.110707649752587
"010045",0.9855,1,2.5,84,128,NA,4,100,23,62,89,98,0.583701423754065,-1.39098204445941
"010045",0.9883,1,2.5,84,128,NA,4,100,23,62,89,98,0.583701423754065,-1.39098204445941
"010045",1.0488,1,2.5,84,128,NA,4,100,23,62,89,98,0.583701423754065,-1.39098204445941
"010046",1.0925,2,0.2,73,156,168,2,100,24,56,73,97,0.368157517351045,-1.62023550311017
"010046",1.048,2,0.2,73,156,168,2,100,24,56,73,97,0.368157517351045,-1.62023550311017
"010046",0.9659,2,0.2,73,156,168,2,100,24,56,73,97,0.368157517351045,-1.62023550311017
"010046",1.0904,2,0.2,73,156,168,2,100,24,56,73,97,0.368157517351045,-1.62023550311017
"010049",1.0285,2,0,56,121,157,1,93,12,56,83,97,1.00785313269663,0.113439667177673
"010049",0.89,2,0,56,121,157,1,93,12,56,83,97,1.00785313269663,0.113439667177673
"010049",1.0465,2,0,56,121,157,1,93,12,56,83,97,1.00785313269663,0.113439667177673
"010049",1.0438,2,0,56,121,157,1,93,12,56,83,97,1.00785313269663,0.113439667177673
"010052",1.0435,1,0,13,111,NA,0,84,12,12,82,23,1.47724670470168,0.121830863554722
"010055",1.0004,3,30.8,83,222,301,4,82,12,53,85,87,-1.75032814361998,1.2675390636379
"010055",1.1755,3,30.8,83,222,301,4,82,12,53,85,87,-1.75032814361998,1.2675390636379
"010055",1.2633,3,30.8,83,222,301,4,82,12,53,85,87,-1.75032814361998,1.2675390636379
"010055",0.9486,3,30.8,83,222,301,4,82,12,53,85,87,-1.75032814361998,1.2675390636379
"010055",0.9641,3,30.8,83,222,301,4,82,12,53,85,87,-1.75032814361998,1.2675390636379
"010055",1.0867,3,30.8,83,222,301,4,82,12,53,85,87,-1.75032814361998,1.2675390636379
"010056",1.0215,2,NA,NA,252,NA,3,95,12,56,71,100,-1.26386354793945,0.202470489298018
"010056",1.037,2,NA,NA,252,NA,3,95,12,56,71,100,-1.26386354793945,0.202470489298018
"010056",1.1313,2,NA,NA,252,NA,3,95,12,56,71,100,-1.26386354793945,0.202470489298018
"010056",0.9213,2,NA,NA,252,NA,3,95,12,56,71,100,-1.26386354793945,0.202470489298018
"010056",0.9772,2,NA,NA,252,NA,3,95,12,56,71,100,-1.26386354793945,0.202470489298018
"010056",0.9489,2,NA,NA,252,NA,3,95,12,56,71,100,-1.26386354793945,0.202470489298018
"010058",0.9402,1,3.4,70,125,205,1,100,4,87,100,83,1.28589751790735,1.39728058731477
"010059",0.9772,1,8.8,93,75,100,1,88,21,NA,NA,NA,2.27021447947466,-0.865947147073072
"010061",0.9658,1,0.7,81,171,256,2,94,18,37,63,78,0.370018549874387,-0.734032699141749
"010061",0.9393,1,0.7,81,171,256,2,94,18,37,63,78,0.370018549874387,-0.734032699141749
"010061",0.998,1,0.7,81,171,256,2,94,18,37,63,78,0.370018549874387,-0.734032699141749
"010062",0.9722,1,0.3,71,110,139,4,90,17,NA,NA,NA,1.18929303437693,-0.602314148621645
"010065",0.9314,2,0,47,171,431,1,100,15,54,70,86,-0.572800040296368,-0.319275557420884
"010065",1.0115,2,0,47,171,431,1,100,15,54,70,86,-0.572800040296368,-0.319275557420884
"010065",1.0035,2,0,47,171,431,1,100,15,54,70,86,-0.572800040296368,-0.319275557420884
"010065",0.9604,2,0,47,171,431,1,100,15,54,70,86,-0.572800040296368,-0.319275557420884
"010065",0.8537,2,0,47,171,431,1,100,15,54,70,86,-0.572800040296368,-0.319275557420884
"010073",0.9695,1,0,55,87,NA,1,97,21,55,86,95,1.60066428584007,-1.18977975326459
"010078",1.035,3,0.1,69,209,NA,3,94,12,55,68,94,-1.23250800409924,0.114666976605056
"010078",1.1409,3,0.1,69,209,NA,3,94,12,55,68,94,-1.23250800409924,0.114666976605056
"010078",0.9644,3,0.1,69,209,NA,3,94,12,55,68,94,-1.23250800409924,0.114666976605056
